Department,JobRole,Age,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Risk_Score
Research & Development,Research Scientist,27,2478,4,Yes,2,2
Sales,Sales Executive,32,5228,13,Yes,2,2
Sales,Sales Executive,27,6349,5,Yes,2,2
Research & Development,Healthcare Representative,43,9985,1,No,1,2
Sales,Sales Executive,29,8268,7,Yes,2,2
Human Resources,Human Resources,31,6410,2,No,1,2
Research & Development,Research Scientist,31,2695,2,Yes,4,2
Research & Development,Research Scientist,37,5974,7,Yes,1,2
Research & Development,Manufacturing Director,41,6032,5,Yes,2,2
Research & Development,Healthcare Representative,35,6540,1,No,2,2
Sales,Sales Executive,30,4736,2,Yes,3,2
Sales,Sales Representative,30,2476,1,No,2,2
Research & Development,Research Scientist,22,2244,2,No,2,2
Research & Development,Laboratory Technician,38,1702,1,Yes,4,2
Research & Development,Manufacturing Director,42,7406,10,Yes,1,2
Research & Development,Research Scientist,37,3564,8,Yes,1,2
Research & Development,Manufacturing Director,27,4298,2,No,1,2
Research & Development,Research Scientist,22,2328,4,Yes,2,2
Sales,Manager,41,13591,1,Yes,4,2
Research & Development,Research Scientist,41,3072,1,No,1,2
Research & Development,Research Scientist,42,6545,3,Yes,1,2
Sales,Sales Executive,26,4157,2,Yes,4,2
Research & Development,Laboratory Technician,27,2341,1,No,1,2
Research & Development,Manufacturing Director,36,8847,3,Yes,2,2
Research & Development,Manager,44,19513,2,Yes,4,2
Research & Development,Research Scientist,38,2619,0,No,1,2
Research & Development,Research Director,43,16627,1,Yes,4,2
Research & Development,Research Scientist,20,2836,1,No,2,2
Research & Development,Laboratory Technician,24,2127,1,No,2,2
Research & Development,Research Scientist,52,5577,10,Yes,1,2
Sales,Sales Executive,40,10932,1,No,1,2
Research & Development,Manufacturing Director,34,5121,0,No,1,2
Research & Development,Manufacturing Director,54,5485,5,Yes,1,2
Research & Development,Research Scientist,37,2782,5,Yes,1,2
Research & Development,Manufacturing Director,38,5980,15,Yes,1,2
Research & Development,Manufacturing Director,38,7861,1,Yes,3,2
Sales,Sales Executive,48,8120,2,No,2,2
Sales,Sales Executive,60,5405,2,No,1,2
Sales,Sales Executive,40,10475,18,Yes,1,2
Sales,Sales Executive,45,10761,5,Yes,1,2
Research & Development,Research Scientist,42,2515,2,Yes,4,2
Sales,Sales Representative,38,2899,2,No,2,2
Sales,Sales Executive,25,4194,5,Yes,1,2
Human Resources,Human Resources,33,2277,4,Yes,2,2
Research & Development,Research Scientist,44,2559,8,Yes,1,2
Research & Development,Manufacturing Director,43,4765,1,No,2,2
Sales,Sales Executive,37,7642,10,Yes,2,2
Research & Development,Laboratory Technician,34,2008,1,No,2,2
Research & Development,Research Scientist,33,2799,3,Yes,1,2
Sales,Sales Executive,40,9705,1,No,2,2
Research & Development,Healthcare Representative,58,10552,6,Yes,2,2
Research & Development,Laboratory Technician,24,2694,1,No,2,2
Sales,Sales Representative,29,2297,2,No,2,2
Research & Development,Healthcare Representative,35,5093,1,No,1,2
Sales,Sales Representative,50,3875,2,No,2,2
Research & Development,Laboratory Technician,45,3633,9,Yes,1,2
Research & Development,Laboratory Technician,27,2811,2,No,2,2
Research & Development,Healthcare Representative,33,5488,6,Yes,2,2
Research & Development,Research Director,30,11416,8,Yes,1,2
Sales,Sales Representative,34,2220,1,Yes,3,2
Sales,Sales Representative,28,1052,1,No,2,2
Sales,Sales Executive,38,6861,1,Yes,4,2
Research & Development,Healthcare Representative,55,6385,8,Yes,2,2
Sales,Sales Executive,37,6694,1,Yes,4,2
Sales,Sales Executive,38,7351,1,No,2,2
Research & Development,Laboratory Technician,41,4766,1,Yes,4,2
Research & Development,Research Scientist,40,4422,1,Yes,4,2
Sales,Sales Representative,32,2827,1,No,1,2
Research & Development,Research Scientist,19,2552,1,No,1,2
Research & Development,Research Scientist,46,4615,16,Yes,1,2
Research & Development,Manufacturing Director,39,10880,21,Yes,1,2
Research & Development,Manager,50,17856,2,No,1,2
Sales,Sales Executive,40,4327,0,No,2,2
Research & Development,Manufacturing Director,36,10252,7,Yes,1,2
Sales,Sales Executive,35,8966,7,Yes,1,2
Research & Development,Research Scientist,30,3579,11,Yes,2,2
Research & Development,Research Scientist,27,2235,9,Yes,1,2
Research & Development,Healthcare Representative,31,6833,6,Yes,1,2
Research & Development,Laboratory Technician,32,2743,2,No,2,2
Research & Development,Laboratory Technician,48,2559,1,No,2,2
Research & Development,Research Scientist,19,2994,1,Yes,4,2
Sales,Sales Executive,34,4538,3,Yes,1,2
Research & Development,Healthcare Representative,55,13577,33,Yes,2,2
Research & Development,Laboratory Technician,41,4721,18,Yes,1,2
Research & Development,Manufacturing Director,30,6877,0,Yes,4,2
Sales,Sales Executive,28,4779,8,Yes,2,2
Research & Development,Research Scientist,38,3057,1,Yes,3,2
Research & Development,Research Scientist,25,2096,2,No,2,2
Research & Development,Laboratory Technician,28,3867,2,Yes,4,2
Research & Development,Manufacturing Director,36,5410,16,Yes,2,2
Sales,Manager,51,19847,29,Yes,2,2
Human Resources,Manager,51,14026,33,Yes,2,2
Research & Development,Manufacturing Director,56,13402,19,Yes,2,2
Research & Development,Manager,45,18061,0,No,2,2
Research & Development,Manager,39,17123,19,Yes,2,2
Sales,Sales Executive,36,9278,5,Yes,2,2
Research & Development,Healthcare Representative,45,10851,7,Yes,1,2
Sales,Sales Executive,48,5486,2,No,1,2
Sales,Sales Representative,24,2033,1,No,2,2
Research & Development,Manufacturing Director,44,10209,2,Yes,3,2
Research & Development,Healthcare Representative,33,6388,0,Yes,3,2
Research & Development,Research Director,50,16880,3,Yes,1,2
Research & Development,Manager,30,11916,9,Yes,1,2
Research & Development,Laboratory Technician,42,4841,1,No,2,2
Research & Development,Manufacturing Director,39,8376,2,No,2,2
Research & Development,Laboratory Technician,24,2296,1,No,1,2
Research & Development,Healthcare Representative,40,4069,2,Yes,4,2
Sales,Manager,50,19331,1,Yes,3,2
Research & Development,Laboratory Technician,36,5562,3,Yes,1,2
Sales,Sales Executive,33,6392,2,No,1,2
Research & Development,Laboratory Technician,29,4723,10,Yes,1,2
Sales,Sales Executive,29,4187,10,Yes,2,2
Research & Development,Laboratory Technician,45,5769,10,Yes,1,2
Sales,Sales Representative,20,2728,2,No,1,2
Sales,Sales Executive,41,7082,2,Yes,3,2
Human Resources,Human Resources,44,3195,2,Yes,4,2
Sales,Sales Executive,47,4978,1,No,2,2
Sales,Sales Executive,32,4078,3,Yes,2,2
Research & Development,Research Director,58,19701,9,Yes,1,2
Research & Development,Healthcare Representative,38,5811,1,Yes,4,2
Research & Development,Research Scientist,29,2109,1,No,1,2
Research & Development,Healthcare Representative,36,8321,12,Yes,1,2
Research & Development,Research Director,55,19038,1,No,1,2
Sales,Sales Executive,46,7991,2,No,2,2
Research & Development,Healthcare Representative,42,5538,0,No,1,2
Research & Development,Manufacturing Director,47,10333,22,Yes,2,2
Research & Development,Research Director,46,19328,2,Yes,4,2
Human Resources,Human Resources,29,2804,1,No,2,2
Sales,Sales Representative,28,2856,1,No,2,2
Research & Development,Research Scientist,37,4284,5,Yes,1,2
Research & Development,Manufacturing Director,35,4788,3,Yes,2,2
Research & Development,Research Scientist,26,2933,1,Yes,3,2
Research & Development,Healthcare Representative,44,5033,2,No,1,2
Sales,Sales Executive,56,5380,0,No,1,2
Research & Development,Research Director,58,15787,2,Yes,3,2
Research & Development,Research Scientist,38,2133,20,Yes,2,2
Sales,Manager,58,17875,1,Yes,4,2
Research & Development,Research Scientist,31,3065,4,Yes,1,2
Sales,Sales Executive,42,5087,0,Yes,4,2
Human Resources,Human Resources,38,2991,6,Yes,2,2
Human Resources,Manager,55,19636,10,Yes,2,2
Research & Development,Laboratory Technician,31,1129,1,Yes,4,2
Sales,Sales Representative,38,2858,1,No,1,2
Research & Development,Manufacturing Director,54,4440,5,Yes,1,2
Human Resources,Human Resources,25,2187,2,No,2,2
Research & Development,Research Scientist,42,5410,4,Yes,1,2
Research & Development,Laboratory Technician,25,3977,2,Yes,3,2
Research & Development,Laboratory Technician,35,2660,2,Yes,3,2
Sales,Sales Representative,32,2269,2,No,2,2
Research & Development,Laboratory Technician,29,4025,4,Yes,2,2
Research & Development,Manufacturing Director,27,6142,6,Yes,2,2
